Date,Open,High,Low,Close,Adj Close,Volume
2015-02-19,576,583.474976,573,581.650024,450.172516,343340
2015-02-20,581,583.799988,569.25,571.075012,441.987915,318868
2015-02-23,575.987,577.75,563.312012,567.674988,439.356384,303804
2015-02-24,569.013,573.75,564.5,569.536987,440.797455,209004
2015-02-25,572.5,583,569.588013,579.513,448.518494,647980
2015-02-26,578.724976,578.724976,562.5,564.875,437.18927,279380
2015-02-27,566.812012,570.213013,564.5,566.588013,438.515137,202884
2015-02-28,null,null,null,null,null,null
2015-03-02,575,577,569.599976,572.862,443.370911,154484
2015-03-03,572.75,577.25,569.862,574.338013,444.513275,159124
2015-03-04,574.75,578.375,563.088013,568.150024,439.72406,285720
2015-03-05,567.099976,574.349976,559,562.924988,435.680115,250636
2015-03-09,563.75,564,544.799988,547.638,423.848602,485852
2015-03-10,550,551.75,540.825012,550.025024,425.696075,361360
2015-03-11,547.5,560,543.150024,545.900024,422.503479,508292
2015-03-12,546.224976,556.588013,544.375,554.450012,429.120789,345048
2015-03-13,556.525024,557.200012,548.599976,554.112,428.859192,222656
2015-03-16,552.5,570.5,552.5,566.75,438.640503,308668
2015-03-17,565.049988,569.625,554.549988,560.487,433.793152,339516
2015-03-18,562.5,565.187988,555,557.549988,431.520111,166284
2015-03-19,556.75,561.036987,556.049988,557.474976,431.462006,2042832
2015-03-20,558.25,567.375,558.25,564.737,437.08252,314824
2015-03-23,563,568.75,556.713013,558.099976,431.94574,1441392
2015-03-24,557.5,563,551.562012,553.025024,428.017944,218904
2015-03-25,554.325012,556.924988,550,554.424988,429.10144,292948
2015-03-26,553,553.375,532.5,536.112,414.927979,452640
2015-03-27,541,556.25,540,550.487,426.05365,323088
2015-03-30,553.5,561.013,548.862,557.450012,431.442719,231928
2015-03-31,560.900024,568,551.213013,554.150024,428.888672,306176
2015-04-01,552.349976,552.349976,540,543.062012,420.307007,632492
2015-04-06,544.5,546.25,540.5,544.299988,421.265137,232236
2015-04-07,545,545.987,535.450012,540.312012,418.178619,280228
2015-04-08,543.875,551.713013,543.5,550.200012,425.831482,159196
2015-04-09,552.5,554.099976,546.75,552.849976,427.882477,136140
2015-04-10,552.5,559.75,552.5,558.325012,432.119904,185700
2015-04-13,558.75,561,554.400024,559.75,433.222748,135516
2015-04-15,559.724976,560.724976,548.875,553.299988,428.230774,176820
2015-04-16,553.75,557.5,539.062012,547.775024,423.95462,297960
2015-04-17,547,548.75,538.362,545.487,422.183838,130396
2015-04-20,545.25,546,529.312012,533.312012,412.760864,3215856
2015-04-21,534.5,538.112,529.950012,536.099976,414.918671,663064
2015-04-22,536.536987,543.75,525.062012,534.612,413.767029,316724
